question_text,question_topic
"I'm looking to possibly order the Fermented Beets with Red Spinach- item number 163826 but if I decide not to try it after getting it, would it be possible to return for a refund? Do you ever give refunds as online store credit?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Sera chair (Item # 304556), but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm thinking about using a gift card towards the purchase of the hiking boots #8813290. If I get these and they're not at all what I expected them to be, will I be able to recoup that gift card amount via a refund? I would hate to blow that money on something I don't even end up keeping.",Returns & Refunds
"Say I got the Rose Gentle Cleanser. If I later wanted to exchange it for something at a lower price, would you reimburse the difference, or would I have to do a straight-up exchange?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at these pillows, 295254, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Turcotte Luxura Chair- 934103, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"If I order the All-Clad NS1 Nonstick Square Griddle and try it and wind up not liking it, would I be able to return for a full refund? Do you ever give refunds as store credit?",Returns & Refunds
"If I order the Scanpan Classic Griddle- sku 1122985 and try it and wind up not liking it, would I be able to return for a full refund? Do you ever give refunds as store credit?",Returns & Refunds
"I'm looking to possibly order a nitric oxide supplement (SKU #: 039442051929) but if I decide not to try it after getting it, would it be possible to return for a refund? Do you ever give refunds as online store credit?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Cotton Eyelet Blouse, item number GB00085, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this poufy pillow, 9992145, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this dress with item #NMF17_TQFXQ, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm thinking about using a gift card towards the purchase of this bike rack - 9144706. If I get this and it's not at all what I expected it to be, will I be able to recoup that gift card amount via a refund? I would hate to blow that money on something I don't even end up keeping.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this cute dress, 0400093899470, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm looking to order the men's sweater with item #177JU for my boyfriend but if it doesn't fit, would I be able to send it back for a different size without paying the return shipping cost? How much time would I have to send an item back after receiving it?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Lauren Conrad Print Lace Tank-sku 52745446, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm thinking about using a gift card towards the purchase of the starter kit If I get this and need to return it for some reason, will I be able to recoup that gift card amount via a refund? I would hate to blow that money on something that I don't even end up keeping.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Surge Warm 1/2 Zip, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm thinking about using a gift card towards the purchase of these boots #8339338. If I get these and they're not at all what I expected them to be, will I be able to recoup that gift card amount via a refund? I would hate to blow that money on something I don't even end up keeping.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Asymmetric ruffled stretch-knit dress, product code 857611 and want to be entirely sure it's right for me before ordering.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Chiffon & Lace Slip (AL-360-175), but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this girls shirtdress, item number 424561, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Colorblock Crew Icon Sweater-web item number 165206, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"How much will your standard shipping cost to ship this tankini, item number 594123 to Portland OR, 97204? And do you offer free shipping if I spend over a certain amount?",Shipping
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Embroidered Blue Rings Pillow-item number 3152165, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I think I may order a game or puzzle from your site for my son but if he sees it and doesn't like it, could I exchange for a different game? What's your return window policy with games and books?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Polkadot pillow, item number 5772004, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this flutter top web ID 3034188, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm thinking about using a gift card towards the purchase of this continuance necklace, style number N13346D8WADI17. If I get this and it's not at all what I expected it to be, will I be able to recoup that gift card amount via a refund? I would hate to blow that money on something I don't even end up keeping.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Girls' Trail Tee- item number TA292263, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"I'm looking to possibly order the Vlution Nutrition ing ENGN, but if I decide not to try it after getting it, would it be possible to return for a refund? Do you ever give refunds as online store credit?",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at the Eyelet Off The Shoulder Blouse (116555486), but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Do you offer email tracking on items that are returned? I've had some issues with other companies when it comes to things getting lost during the return process and just want to make sure I'm in the loop. Will I get any sort of email alert when the refund is processed back onto a credit card? I'm looking at this blouse with item #483547A83, but I can be entirely sure it's right for me until I actually get it.",Returns & Refunds
"Is it possible to get the Floral Embrace Product Code: 100299, only in the vase that's pictured with the Fields of Europe Romance Product Code: 148245? I just really lke that vase.",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
Are the Intarsia sweater #232452 and the v-neck sweater #327791 made with natural materials?,Product Comparison
Could you tell me which backpack is larger- the Calvin Klein backpack (1722084) or the Travelpro backpack (2192710)?,Product Comparison
"Are the linen roll-neck sweater and the cable-knit cotton sweater made with natural materials? The style numbers are 108284876 and 
112986436, just in case.",Product Comparison
I was wondering if you knew which had a longer battery life: the Samsung Galaxy Tab E NOOK or the Samsung Galaxy Tab S2 NOOK?,Product Comparison
"Between the Satchel [59132] and the tote [58771], which one has a longer strap? I dont like short straps at all, they're uncomfortable.",Product Comparison
I'm looking at ordering either the Optimum Nutrition Opti-Bar or the Quest Nutrition Quest Bar but could you first tell me which has less carbohydrates per serving? The item #s are 226609 and 476453 if you need that.,Product Comparison
Are the Style code: 0400088774213 wool sweater and the Style code: 0473679070573 cashmere sweater made with natural materials?,Product Comparison
"I'm looking for cold weather gloves, preferably fleece. Do you have any available on your site? I'd probably need the largest size you have.",Product Availability
"Im thinking about getting either the Arrow Fastener electric stapler, Model # T50ACD-R, or the Stanley electric stapler, Model # TRE550Z. Could you let me know how long the power cord is on each one of those?",Product Comparison
What's the difference in size between the Teakettle 2798908 and the Teapot 1205947?,Product Comparison
"Are the merino wool sweater, ITEM# BS00235, and the supima cotton sweater, ITEM# BS00240, made with natural materials?",Product Comparison
"Are the Mini Boden stripe sweater, #5340107, and the Armani Jr logo sweater, #5194033, made with natural materials?",Product Comparison
"Im looking at the Bronze Goddess Powder Bronzer, and Im worried the colors may be too dark. Do you have this in a shade for fair skin?",Product Availability
"Hey, do you have any extra wheel covers that feature the Marine Corps logo on them? It's for a buddy of mine. He loves his jeep and he's being discharged next month--I thought it'd be a good present.",Product Availability
I am looking for a blush that doesn't add too much color. Does the Too Faced blush [1894468] or the Nars blush [1774587] have more of a sheer finish?,Product Comparison
"I'm looking to order either of these two drawer filing cabinets, Item # 878389 or Item # 450209. Could you just tell me which would take up less space in my office?",Product Comparison
I was just wondering if you sell equalizer modulators at all? I'm trying to perfect my home audio setup and I'd like something to measure the different levels across my speakers.,Product Availability
I'm looking to order either the dresser (2935945) or the (2935920). Could you just tell me which would take up less space in my bedroom?,Product Comparison
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
"Im looking at the Star Bronzer, and Im worried the colors may be too dark. Do you have this in a shade for fair skin?",Product Availability
Im thinking about getting either the Bostitch staple gun [398889 ] or the Arrow staple gun [638368]. Could you let me know how long the power cord is on each one of those?,Product Comparison
Could you tell me which backpack is larger- the backpack (98563151) or the backpack (95604301)?,Product Comparison
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
"What's the difference in size between the 5 qt. cast-iron dutch oven, Item: 5-9502220, and the 4 qt. stainless steel dutch oven, Item: 5-6825892?",Product Comparison
I'm looking to order either the 3-Drawer Dresset (3998346) or the 5-Drawer Dresser (4718057). Could you just tell me which would take up less space in my bedroom?,Product Comparison
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Are the kids' sweater fleece item#TA300193 and the kids' hooded fleece item#TA300198 made with natural materials?,Product Comparison
I'm looking to order either the Farmhouse dresser #5180021 or the Banks dresser #445499. Could you just tell me which would take up less space in my bedroom?,Product Comparison
Are the boys' cashmere skull sweater item G1266 and the cashmere crewneck sweater item 38102 made with natural materials?,Product Comparison
I'm looking to order either the Office Designs file cabinet #892639 or the MBI 400 series filel cabinet #403209. Could you just tell me which would take up less space in my office?,Product Comparison
Could you tell me which backpack is larger- the Rise & Shine backpack or the Go Lightly backpack?,Product Comparison
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
"Would you know, do you carry Eric Michael women's riding boots with a glossy black finish? I'm looking for a size 8.",Product Availability
Do you have any gluten free protein bars that are peanut butter flavored?,Product Availability
I'm looking at ordering either the blueberry quest bar muffin ITEM # : QC-1071/2092195 or the mint cookie bars ITEM # : FU-1023/1958222 but could you first tell me which has less carbohydrates per serving?,Product Comparison
If I place an order for the PowRFIT wall mount pull up bar but its not what I was expecting would I be able to exchange if for something of equal value? How long would I have to do that?,Returns & Refunds
"How much will your standard shipping cost to ship this galaxy tab 887276140001 to Tampa FL, 33602? And do you offer free shipping if I spend over a certain amount?",Shipping
I'm looking to order either the calvin dresser 888602 or the moda dresser 641234. Could you just tell me which would take up less space in my bedroom?,Product Comparison
Is there a difference in fit and support between the front close bralette AL-361-616 and the lace triangle bralette AL-361-646?,Product Comparison
What are the lengths on the sweater dress 237978 and the lace dress 238371 both in size 16?? I like both of these and am just wondering how they'll wear on me.,Product Comparison
"Between the robson lane anabel pxru7629 and the watson lane marybeth pxru7661, which one has a longer strap? I dont like short straps at all, they're uncomfortable.",Product Comparison
Are the cotton cardigan Z1LGS and the cashmere pullover sweater Z1S7C made with natural materials?,Product Comparison
"Would you know, do you carry Eric Michael women's riding boots with a glossy black finish? I'm looking for a size 8.",Product Availability
Are this sweater 138213 and this sweater 153066 made with natural materials?,Product Comparison
Do you have any file cabinets with wheels on the bottom?,Product Availability
"Excuse me, are you able to tell me how large the face sizes are on the petite albion ring with carnelian and diamonds and the chatelaine ring with lemon citrine and diamonds I can't decide if they'll be too imposing for me or not.",Product Comparison
Do you have any wool throw blankets available on your site?,Product Availability
I remember you guys had designer batteries not too long ago... do you still sell these?,Product Availability
Are this sweater 473706A85 and this sweater 471654A88 made with natural materials?,Product Comparison
"If I were to buy STYLE NO. 51936, do you know how much it would cost to ship it to my apartment in Grove City, OH (Zip: 43123)? And also, would you happen to have any overnight shipping options on that?",Shipping
"If I decide to order Web ID: 4468877, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
What kind of promotions do you have at the moment regarding whey protein powder? What kind of perks would I get for signing up for your e-mail list?,Sales/Promotions
What kind of promotions do you have at the moment regarding whey protein powder? What kind of perks would I get for signing up for your e-mail list?,Sales/Promotions
If I create an account on your website what kind of benefits would I get? Do you advertise sales on your social media pages?,Sales/Promotions
"Is there any place on your website where I might be able to find closeout women's fringe booties that are being discontinued? Also, do you offer any sort of free expedited shipping upgrade over a certain cart price?",Sales/Promotions
"I'm now over 55 years old, and I was wondering if you offer any discounts for seniors. Do you, by chance? Also, do you match your competitors' pricing on products at all, if they are offering the same product at a lower price?",Sales/Promotions
"If I decide to order Item: 2547986, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order WEB ITEM: 134106, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I want to order item 2860203 as a gift for my parents but would like to receive it in San Diego, CA in the next three days. Do you have a shipping option that could make that possible? Would I be able to track this after it ships?",Shipping
"Is there a step up from your standard shipping to something quicker, that's not overnight or next-day shipping? I'd like to get STYLE NUMBER: B13009 8R rather quickly, but I don't want to pay a fortune in delivery fees. On average, how long would it take for me to see this if I live in Radcliff, KY 40159?",Shipping
"If I decide to order ITEM# 010E, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
If I create an account on your website what kind of benefits would I get? Do you advertise sales on your social media pages?,Sales/Promotions
"If I decide to order WEB ITEM: 149501, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I join your email list, what kind of emails does that sign me up for? I'd be interested in new products and sales for sure, but I'm not really into general marketing emails or updates. Will I have the option to choose my preferences?",Sales/Promotions
"Do you have an ""open box"" section of the website for returns that are marked down? I prefer to shop deals first. Also, do you honor competitor coupons on shoes? I prefer to shop your site, but I can't pass up credit from someone else!",Sales/Promotions
"If I were to buy ITEM 1675974, do you know how much it would cost to ship it to my apartment in South Portland, ME Zip 04106? And also, would you happen to have any overnight shipping options on that?",Shipping
"If I decide to order Style code: 0400092690882, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order AL-356-583, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the contemporary stripe dress shirt in a 17.5, Online Inquiries: OC317_N3T0R, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the double stripe standard fit dress shirt in a size large, #638180, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
I was wondering if you have a members program I could join to save money on your products? What kind of benefits would I get for signing up for your e-mail newsletter?,Sales/Promotions
I might be ordering a textbook from you but wanted to know if you have two-day shipping available for in-stock textbooks? Would you be able to send me an e-mail when it is delivered in case I'm not home when it gets there?,Shipping
Do rewards points roll over from month to month or do they expire? Do I earn points on everything I buy or are there restrictions I should know about?,Sales/Promotions
"If I decide to order the Ludlow shirt in a size large, item 02685, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the Grayson desk, Item: 3034126, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the French blue Oxford shirt in a size small, Item #: TA500533, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the Berkeley desk in ash with the brushed nickel hardware, Item Number: 094493, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I may order multiple items at the same time from your site. If they're all in-stock, will they ship together in the same box? Do you have an expedited shipping speed available?",Shipping
"I'm thinking about ordering this cocktail, 804312, but wanted to see if you had any discount codes I might be able to use on this dress? Do you have some kind of club I could join to get special deals on your site?",Sales/Promotions
What kind of promotions do you have at the moment regarding whey protein powder? What kind of perks would I get for signing up for your e-mail list?,Sales/Promotions
Do Celebrations Rewards points roll over from month to month or do they expire? Do I earn points on everything I buy or are there restrictions I should know about?,Sales/Promotions
"I'm considering the Dewalt hammer drill, Item # 227967. If I had it sent to my house in Birmingham, AL (Zip: 35209), would my shipping address and credit card address have to be the same? And then also, do you know about how long it'd take to get to me using your regular shipping?",Shipping
What kind of promotions do you have at the moment regarding whey protein powder? What kind of perks would I get for signing up for your e-mail list?,Sales/Promotions
"If I decide to order the trim fit dress shirt in white and a size 16 32/33, Item #328910, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I'm considering this hammer drill, 204300768. If I had it sent to my house in Birmingham, AL (Zip: 35209), would my shipping address and credit card address have to be the same? And then also, do you know about how long it'd take to get to me using your regular shipping?",Shipping
"I may order multiple items at the same time from your site. If they're all in-stock, will they ship together in the same box? Do you have an expedited shipping speed available?",Shipping
"Is there a step up from your standard shipping to something quicker, that's not overnight or next-day shipping? I'd like to get the duster vest Item Number #242785 in a size 20 rather quickly, but I don't want to pay a fortune in delivery fees. On average, how long would it take for me to see this if I live in Radcliff, KY 40159?",Shipping
What kind of promotions do you have at the moment regarding whey protein powder? What kind of perks would I get for signing up for your e-mail list?,Sales/Promotions
"If I decide to order this desk, 1369545, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the striped Oxford shirt in a 15.5 at the neck and a 34/35 at the sleeve, STYLE NUMBER: 59954246, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order this utility cart, 527946, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I want to purchase a 4 light mini chandelier but am on a tight budget. Do you have any on sale that I could check out? Also, do you have an e-mail list I could register with to get updates on upcoming sales?",Sales/Promotions
"If I decide to order this bag for my mom, 79385162, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I want to order the electronic wine opener, Item: 5-9110870, as a gift for my parents but would like to receive it in San Diego, CA in the next three days. Do you have a shipping option that could make that possible? Would I be able to track this after it ships?",Shipping
"If I decide to order my wife this desk, 3974099, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"If I decide to order the big reversible yoga mat, SKU# 3636926, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
"I'm now over 55 years old, and I was wondering if you offer any discounts for seniors. Do you, by chance? Also, do you match your competitors' pricing on products at all, if they are offering the same product at a lower price?",Sales/Promotions
"If I were to buy this wallet, pwru5534, do you know how much it would cost to ship it to my apartment in Grove City, OH (Zip: 43123)? And also, would you happen to have any overnight shipping options on that?",Shipping
"If I decide to order the no iron dress shirt in white and a regular size 6, Item #484705A84, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
Do you have any pre-seasoned cast iron cookware sets?,Product Availability
Do you have any file cabinets with wheels on the bottom? I'd prefer something in black.,Product Availability
"For the standard water pump, Item # mpn1952190, does this come with o-ring gaskets? Do you know if this comes with a fan clutch replacement as well?",Product Specifications
Do you happen to have any glutamine powder available on your website?,Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL.",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"The Double Wear Stay-in-Place Eye Pencil looks amazing! Is this a twist up pencil or will it need to be sharpened? Also, can this be layered with other products, or should it be used on its own?",Product Specifications
Do you know exactly when the Vitacost BCAA supplement SKU #: 835003003143 is supposed to be taken? I wasn't sure if it was for before a workout or after.,Product Specifications
Do you know exactly when the Dymatize Nutrition BCAA supplement Item: DYN001 is supposed to be taken? I wasn't sure if it was for before a workout or after.,Product Specifications
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"Im looking at the GE stainless steel oven, Model # JT3500SFSS, and it looks great, but I would prefer it in black. Would that be possible? Im also looking for a matching microwave  is that something you have?",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"Im looking at the GE stainless steel oven, Item # 511791, and it looks great, but I would prefer it in black. Would that be possible? Im also looking for a matching microwave  is that something you have?",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Do you have any file cabinets with wheels on the bottom?,Product Availability
"I love the colors of the Cameron Street tote bag, style # pxru7183, but this bag is a bit large for medo you have this in a smaller size? Also, is there any chance you carry any sterling silver men's watches? Im looking for one with a large face and roman numerals, if possible.",Product Availability
Do you know exactly when the BPI Sports Best BCAA is supposed to be taken? I wasn't sure if it was for before a workout or after.,Product Specifications
"I really love the color of the bouche lipstick set ITEM 1898998, but I was looking for a bright purple. Do you have this in a bright purple color? On another note, do you have any angle brushes, preferably with a wooden handle?",Product Availability
Do you have any plush robes that are long and pink in a medium?,Product Availability
"I love the colors of the Turnlock tote bag, STYLE NO. 56830, but this bag is a bit large for medo you have this in a smaller size? Also, is there any chance you carry any sterling silver men's watches? Im looking for one with a large face and roman numerals, if possible.",Product Availability
"Does the Cinema soundbar, Item# JBLSB450BLKAM, include an HDMI cable or would I need to purchase one separately?",Product Specifications
"What are the dimensions of the 10-cup coffee brewer, ASIN: B00EAQJCWW? I want to make sure it will fit on my counter.",Product Specifications
Do you have any file cabinets with wheels on the bottom?,Product Availability
Do you have any novels written by Tom Drury available on your site?,Product Availability
Could you tell me what the inseam length is for these printed leggings Item #8902T in a size medium?,Product Specifications
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"The Le Duo eye pencil #3614271500304 looks amazing! Is this a twist up pencil or will it need to be sharpened? Also, can this be layered with other products, or should it be used on its own?",Product Specifications
"I'm looking for men's cold weather gloves, do you have any available on your site?",Product Availability
"What's the shaft height of these knit boots, Product Code: 869113, in a size IT 39?",Product Specifications
"Your Short Battery works with all of the charging accessories you sell, right? How do I know when it's done charging?",Product Specifications
"Do the Mizuno running shoes, SKU: #8718305, have a padded tongue and collar? What kind of breathability do these offer?",Product Specifications
What are the dimensions of the Cuisinart Brew Central 12-Cup Programmable Coffeemaker? I want to make sure it will fit on my counter.,Product Specifications
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Do you happen to have any glutamine powder available on your website?,Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"I need a jean jacket and was wondering if you have any in a lghter wash? Not stonewashed or bleached, but definitely light is what I'm looking for. I actually need a couple of oxford shirts as well. Do you have any that have stripes on the underside of the cuffs, so when you roll the sleeves they're accented?",Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Do you have any file cabinets with wheels on the bottom?,Product Availability
Do you have any pre-seasoned cast iron cookware sets?,Product Availability
"What do you have on your website for lockets? I want to get my grandaughter one that's simple, that she can keep forever. I was also wondering if you sell any lock and key pendent necklaces?",Product Availability
"The cognac Bruno Oxfords SKU 8804851 are real leather, right? Are these diabetic-friendly?",Product Specifications
"Do you know exactly when these name brand BCAA softgels, Item #058220, are supposed to be taken? I wasn't sure if it was for before a workout or after.",Product Specifications
What's the best way to wash the woven throw blanket SKU: ATGR1335?,Product Specifications
Do you have any file cabinets with wheels on the bottom? I'd prefer something in black.,Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
Do you have any file cabinets with wheels on the bottom?,Product Availability
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL.",Product Availability
"Hey, are the steaks in the prime skirt steak Product Code: 141166 pre-cooked or do they come raw? These are vacuum-sealed, correct?",Product Specifications
Do you know exactly when the Betancourt BCAA capsules Product Code: BEC-00331 are supposed to be taken? I wasn't sure if it was for before a workout or after.,Product Specifications
Do you know exactly when the lemon BCAA supplement packets Item #: 149929 are supposed to be taken? I wasn't sure if it was for before a workout or after.,Product Specifications
"I'm looking for men's cold weather gloves, do you have any available on your site? I'd probably need an XL for my boyfriend.",Product Availability
"Gift cards purchased online work at all of your store locations, correct? I'll be picking up a gift card for someone as a present and I want to make sure they can use it at a store in their state. And also, are the prices in your stores always the same as your website prices?",Omnichannel
"I may need to stop by the store on Huntington Mall in Barboursville, WV this evening. Do you know if it's open past 7 p.m. today? I don't want to make a wasted trip!",Omnichannel
"Gift cards purchased online work at all of your store locations, correct? I'll be picking up a gift card for someone as a present and I want to make sure they can use it at a store in their state. And also, are the prices in your stores always the same as your website prices?",Omnichannel
"Gift cards purchased online work at all of your store locations, correct? I'll be picking up a gift card for someone as a present and I want to make sure they can use it at a store in their state. And also, are the prices in your stores always the same as your website prices?",Omnichannel
"Is there any way to qualify for free shipping? I'm browsing around on your website and I've seen a few things I like. If there's a free shipping minimum or something like that, I'd love to know about it before I start picking things out.",Shipping
"Do you know if your stores have the same prices on projectors as your website does? I wasn't sure if the website prices were online-only. Also, would I have the option of ordering items on your site and having them shipped to my local Office Depot so I could pick them up there?",Omnichannel
"I might be buying the Fiber Mate (Item #: 105337) but wanted to know about when I'd receive it if being sent to San Diego, CA? Do you have any expedited shipping options?",Shipping
"I want to get an ottoman but would rather see some in person before purchasing on your website. Do you know if your stores have the same prices on couches as your website does? I wasn't sure if the website prices were online-only. Also, would I have the option of ordering items on your site and having them shipped to my local Pier 1 so I could pick them up there?",Omnichannel
"Is there any way to qualify for free shipping? I'm browsing around on your website and I've seen a few things I like. If there's a free shipping minimum or something like that, I'd love to know about it before I start picking things out.",Shipping
"If I decide to order the Under Armour Women's Big Wordmark Tote (ASIN: B00Q34O1RK), is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",Shipping
